key,mode,category_bpm,category_danceability_%,category_valence_%,category_energy_%,category_acousticness_%,category_liveness_%,category_speechiness_%
B,Major,fast,btw_70_80,btw_80_90,btw_80_90,btw_30_40,btw_0_10,btw_0_10
C#,Major,slightly_slow,btw_70_80,btw_60_70,btw_70_80,btw_0_10,btw_0_10,btw_0_10
F,Major,fast,btw_50_60,btw_30_40,btw_50_60,btw_10_20,btw_30_40,btw_0_10
A,Major,extremely_fast,btw_50_60,btw_50_60,btw_70_80,btw_10_20,btw_10_20,btw_10_20
A,Minor,very_fast,btw_60_70,btw_20_30,btw_70_80,btw_10_20,btw_10_20,btw_0_10
C#,Major,very_fast,btw_90_100,btw_60_70,btw_50_60,btw_10_20,btw_0_10,btw_20_30
F,Minor,very_fast,btw_60_70,btw_80_90,btw_70_80,btw_40_50,btw_0_10,btw_0_10
F,Major,slightly_slow,btw_60_70,btw_20_30,btw_70_80,btw_30_40,btw_10_20,btw_0_10
C#,Minor,fast,btw_80_90,btw_20_30,btw_60_70,btw_10_20,btw_20_30,btw_0_10
F#,Minor,slightly_slow,btw_50_60,btw_50_60,btw_70_80,btw_20_30,btw_20_30,btw_0_10
F,Minor,very_fast,btw_70_80,btw_50_60,btw_80_90,btw_10_20,btw_10_20,btw_0_10
D,Minor,fast,btw_50_60,btw_30_40,btw_40_50,btw_80_90,btw_0_10,btw_0_10
F#,Minor,extremely_fast,btw_50_60,btw_60_70,btw_70_80,btw_30_40,btw_30_40,btw_0_10
G#,Major,slightly_slow,btw_60_70,btw_40_50,btw_70_80,btw_0_10,btw_10_20,btw_0_10
B,Minor,medium_tempo,btw_70_80,btw_70_80,btw_50_60,btw_40_50,btw_30_40,btw_0_10
B,Major,slightly_slow,btw_80_90,btw_60_70,btw_60_70,btw_10_20,btw_10_20,btw_10_20
G,Major,medium_tempo,btw_60_70,btw_30_40,btw_70_80,btw_0_10,btw_30_40,btw_0_10
F,Minor,fast,btw_60_70,btw_80_90,btw_70_80,btw_20_30,btw_40_50,btw_0_10
F#,Major,fast,btw_60_70,btw_80_90,btw_70_80,btw_0_10,btw_0_10,btw_0_10
F,Minor,fast,btw_80_90,btw_80_90,btw_60_70,btw_20_30,btw_10_20,btw_0_10
C#,Major,slightly_slow,btw_80_90,btw_80_90,btw_60_70,btw_0_10,btw_30_40,btw_10_20
G,Minor,fast,btw_70_80,btw_90_100,btw_80_90,btw_0_10,btw_0_10,btw_0_10
B,Major,medium_tempo,btw_70_80,btw_80_90,btw_70_80,btw_40_50,btw_10_20,btw_0_10
F#,Major,extremely_fast,btw_50_60,btw_50_60,btw_60_70,btw_40_50,btw_10_20,btw_0_10
B,Minor,medium_tempo,btw_60_70,btw_70_80,btw_80_90,btw_0_10,btw_30_40,btw_0_10
F,Minor,fast,btw_70_80,btw_30_40,btw_80_90,btw_0_10,btw_10_20,btw_0_10
F#,Major,extremely_fast,btw_50_60,btw_60_70,btw_80_90,btw_30_40,btw_10_20,btw_0_10
C#,Minor,slightly_slow,btw_70_80,btw_10_20,btw_60_70,btw_30_40,btw_0_10,btw_0_10
E,Major,slightly_slow,btw_60_70,btw_50_60,btw_60_70,btw_10_20,btw_10_20,btw_0_10
F#,Major,very_fast,btw_60_70,btw_30_40,btw_70_80,btw_30_40,btw_10_20,btw_0_10
F,Major,slightly_slow,btw_70_80,btw_50_60,btw_60_70,btw_0_10,btw_10_20,btw_0_10
D,Major,slightly_slow,btw_50_60,btw_40_50,btw_70_80,btw_0_10,btw_10_20,btw_0_10
F,Minor,fast,btw_70_80,btw_90_100,btw_80_90,btw_20_30,btw_10_20,btw_0_10
A,Minor,very_fast,btw_50_60,btw_80_90,btw_60_70,btw_20_30,btw_0_10,btw_0_10
D,Major,slightly_slow,btw_70_80,btw_90_100,btw_40_50,btw_50_60,btw_0_10,btw_0_10
G,Minor,fast,btw_50_60,btw_30_40,btw_90_100,btw_0_10,btw_30_40,btw_0_10
F#,Major,slow,btw_50_60,btw_50_60,btw_50_60,btw_30_40,btw_10_20,btw_0_10
F,Major,fast,btw_60_70,btw_40_50,btw_60_70,btw_0_10,btw_0_10,btw_0_10
C#,Minor,fast,btw_50_60,btw_50_60,btw_50_60,btw_0_10,btw_10_20,btw_0_10
C#,Minor,slow,btw_50_60,btw_40_50,btw_50_60,btw_20_30,btw_40_50,btw_0_10
A#,Minor,medium_tempo,btw_70_80,btw_10_20,btw_60_70,btw_0_10,btw_0_10,btw_0_10
G,Major,fast,btw_50_60,btw_20_30,btw_90_100,btw_0_10,btw_10_20,btw_0_10
F#,Minor,medium_tempo,btw_90_100,btw_50_60,btw_60_70,btw_10_20,btw_10_20,btw_0_10
G,Minor,fast,btw_60_70,btw_90_100,btw_80_90,btw_10_20,btw_0_10,btw_0_10
E,Minor,fast,btw_40_50,btw_10_20,btw_50_60,btw_60_70,btw_0_10,btw_0_10
C#,Major,extremely_fast,btw_40_50,btw_30_40,btw_70_80,btw_0_10,btw_0_10,btw_0_10
G,Minor,fast,btw_60_70,btw_80_90,btw_70_80,btw_50_60,btw_10_20,btw_0_10
G,Minor,fast,btw_80_90,btw_80_90,btw_60_70,btw_50_60,btw_20_30,btw_0_10
B,Major,fast,btw_80_90,btw_50_60,btw_90_100,btw_40_50,btw_0_10,btw_0_10
F,Major,fast,btw_60_70,btw_80_90,btw_80_90,btw_20_30,btw_20_30,btw_0_10
